language_id	project_id
1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
2	10
2	2
2	8
3	7
4	2
4	11
4	7
5	7
7	2
7	7
8	2
8	9
9	10
10	12
11	9
12	13
12	12
12	14
13	9
14	1
14	15
15	12
15	11
16	16
16	5
16	11
18	1
18	2
18	3
19	1
19	13
19	2
19	3
19	17
19	5
19	12
19	11
20	13
20	2
20	12
20	18
21	13
21	12
21	19
21	20
21	9
23	13
23	12
24	12
25	15
26	1
26	13
26	2
26	17
26	21
26	5
26	12
26	11
26	9
27	10
27	2
28	2
28	3
28	5
28	22
30	13
30	12
31	5
31	9
32	3
32	23
32	24
32	21
32	5
32	11
32	2
32	25
32	26
32	27
32	12
32	19
32	28
32	29
32	30
32	9
32	31
32	32
32	1
32	13
32	33
32	20
32	34
32	35
32	17
33	33
34	1
34	5
34	9
35	13
35	19
35	36
36	10
36	2
36	9
37	2
37	3
37	28
37	7
38	37
38	10
38	38
38	1
38	13
38	3
38	33
38	23
38	5
38	16
38	39
38	40
38	11
38	41
38	2
38	27
38	12
38	19
38	28
38	42
38	7
38	31
38	9
39	19
39	11
40	2
40	3
40	5
40	12
40	18
40	28
40	11
40	7
40	9
41	10
41	43
41	44
41	11
41	45
42	10
42	45
43	1
43	2
43	13
43	3
43	24
43	5
43	22
43	7
43	30
43	9
44	10
44	19
45	2
45	9
45	45
47	2
47	46
48	10
48	1
48	13
48	3
48	5
48	22
48	11
48	2
48	17
48	12
48	19
48	7
48	9
49	47
49	10
49	1
49	2
49	3
49	21
49	5
49	19
49	34
49	7
49	9
50	19
51	1
51	2
51	48
51	3
51	19
52	41
52	7
53	3
53	24
53	21
53	5
53	22
53	11
53	49
53	2
53	50
53	26
53	12
53	28
53	19
53	29
53	51
53	52
53	30
53	53
53	9
53	10
53	32
53	1
53	13
53	54
53	34
53	35
53	55
53	56
53	17
53	44
53	57
53	58
53	59
54	10
54	2
54	13
55	37
55	3
55	60
55	23
55	5
55	18
55	11
55	61
55	62
55	2
55	43
55	27
55	12
55	28
55	42
55	29
55	30
55	9
55	45
55	47
55	10
55	32
55	13
55	1
55	63
55	64
55	65
55	66
55	17
55	67
55	58
55	68
56	2
56	1
56	3
56	64
56	28
56	7
56	9
57	12
58	2
58	9
59	69
59	1
59	70
59	2
59	3
59	5
59	12
59	9
60	37
60	3
60	60
60	5
60	22
60	18
60	11
60	41
60	2
60	43
60	27
60	12
60	42
60	19
60	28
60	7
60	9
60	45
60	31
60	10
60	32
60	1
60	33
60	16
60	65
60	34
60	8
60	71
60	58
61	47
61	13
61	2
61	12
61	11
61	7
62	13
62	2
62	12
62	11
62	7
63	13
63	11
64	12
65	13
65	12
65	11
66	13
66	11
67	13
67	12
68	2
68	65
69	13
69	2
69	12
69	9
70	12
71	2
71	65
72	2
72	65
73	2
73	9
74	12
75	12
76	13
76	12
76	11
76	7
77	10
77	2
77	1
77	3
77	5
77	22
78	7
79	7
80	7
81	10
81	65
82	10
82	2
82	72
82	8
82	45
83	2
83	65
84	2
84	65
84	7
85	7
86	65
88	2
88	65
88	7
89	65
89	7
90	10
90	65
91	7
92	2
92	65
92	12
92	11
92	7
92	9
93	10
93	2
93	13
93	65
93	5
93	11
93	7
93	45
94	65
95	10
95	2
95	48
95	65
95	6
95	11
95	7
95	9
95	45
96	65
100	10
100	65
101	65
102	13
102	12
102	11
103	7
104	10
104	2
104	43
104	65
104	12
104	44
104	11
104	9
104	45
105	2
105	65
105	7
106	65
106	7
107	2
107	3
107	71
107	7
108	2
108	7
108	9
109	2
109	17
109	5
109	18
109	73
109	7
110	2
110	7
111	13
111	70
111	2
111	12
111	7
115	2
115	7
116	2
116	7
117	3
118	12
119	10
120	7
121	7
122	70
122	2
122	5
123	70
123	12
124	37
125	2
125	74
125	11
125	7
126	13
126	2
126	12
126	11
126	7
127	3
127	28
127	7
128	7
129	1
129	3
129	28
130	37
130	3
130	75
130	5
130	41
130	49
130	2
130	43
130	50
130	26
130	76
130	77
130	28
130	19
130	51
130	7
130	31
130	47
130	10
130	1
130	13
130	39
130	34
130	20
130	78
130	79
130	71
130	80
131	2
131	7
133	2
133	26
133	28
133	67
134	28
134	7
136	13
136	12
136	11
136	7
137	81
137	13
137	2
137	5
137	12
137	11
137	9
138	13
138	2
138	12
138	19
138	11
138	34
138	9
139	81
139	13
139	2
139	12
139	11
139	36
139	9
140	82
140	9
141	9
143	13
143	5
143	12
143	19
143	11
144	2
144	9
145	9
146	13
146	83
146	12
146	11
146	9
149	9
151	13
151	2
151	12
151	19
151	11
151	84
151	9
153	13
153	12
153	11
154	2
154	19
154	9
155	13
155	2
155	16
155	12
155	9
156	12
156	9
157	12
157	9
158	9
159	9
160	12
160	9
161	10
161	2
161	12
161	28
161	34
161	9
165	12
166	12
166	9
167	13
167	12
167	11
168	12
168	11
169	13
169	12
169	19
169	36
170	13
170	12
170	19
170	11
171	13
171	2
171	12
171	11
172	2
172	12
172	11
173	13
173	12
173	19
173	11
174	13
174	12
174	19
174	11
175	2
175	12
175	11
176	85
176	12
176	11
177	13
177	19
177	11
178	13
178	12
178	19
178	11
179	69
179	12
179	11
180	12
180	11
181	12
181	11
181	20
182	12
182	11
183	12
183	11
184	12
184	11
184	20
185	2
185	12
185	11
185	20
186	12
186	20
186	11
187	13
187	12
187	11
188	13
188	12
188	11
189	12
189	20
190	13
190	12
190	11
191	12
191	11
193	12
193	11
194	2
194	12
194	11
195	13
195	12
195	11
196	12
196	11
197	13
197	12
197	11
198	13
198	12
198	36
198	11
201	13
201	12
201	36
201	11
202	13
202	12
202	11
202	7
203	13
203	2
203	17
203	12
203	19
203	11
203	36
204	2
204	17
205	13
205	12
205	11
206	13
206	12
206	19
208	13
208	12
209	13
209	12
210	12
211	12
212	12
213	12
214	13
214	86
214	12
215	2
215	12
215	36
219	87
219	2
219	88
220	7
221	2
221	13
221	12
221	19
221	11
221	89
222	2
222	12
222	7
223	13
223	12
223	11
224	2
224	12
224	7
225	13
225	12
225	19
225	11
225	36
226	2
226	13
226	17
226	12
226	11
227	12
228	12
228	7
229	13
229	12
229	19
229	11
229	36
229	9
231	13
231	2
231	12
231	11
233	13
233	12
233	19
233	36
233	11
234	13
234	12
235	69
235	13
235	2
235	12
235	11
236	12
237	12
238	12
239	2
240	12
241	12
243	13
243	2
243	12
243	11
243	15
244	2
244	12
246	12
247	2
247	70
247	12
247	11
247	15
248	10
248	12
249	2
249	13
249	12
249	36
249	11
250	69
250	13
250	2
250	12
250	11
251	69
251	2
251	12
252	12
252	11
253	13
253	5
253	12
253	11
254	12
254	11
255	12
255	11
257	13
257	12
257	7
258	13
258	2
258	12
258	90
258	11
259	12
259	11
260	12
261	12
261	90
261	11
262	12
263	12
264	13
264	90
264	12
264	11
265	12
266	13
266	2
266	12
266	11
267	13
267	12
267	91
267	11
268	90
268	12
268	11
269	12
269	11
270	69
270	2
270	12
271	12
271	11
273	12
274	13
274	12
274	11
276	13
276	12
276	11
277	13
277	12
277	11
279	12
281	7
283	7
284	2
284	7
286	7
288	7
289	1
289	3
289	28
290	7
291	12
291	7
292	2
293	10
294	7
295	7
296	10
296	13
296	2
296	11
296	8
297	7
298	12
298	7
299	7
300	13
300	7
301	12
301	19
302	7
305	10
305	2
305	65
305	12
305	9
308	13
308	70
308	12
308	7
310	11
310	7
310	73
311	7
312	7
313	7
314	7
315	7
315	73
316	12
317	7
318	7
318	73
319	7
320	2
320	11
320	7
321	7
322	2
322	7
323	7
324	12
324	7
325	7
326	12
326	11
326	7
327	7
328	7
329	7
330	2
330	7
331	12
331	7
332	2
332	13
332	11
332	7
333	2
333	7
333	73
334	7
335	7
336	12
336	7
337	7
338	7
339	7
340	32
340	13
340	70
340	12
340	11
340	7
341	7
342	7
343	7
344	7
345	7
346	7
347	7
348	7
349	7
350	7
351	7
352	12
352	7
353	7
354	7
355	7
356	12
356	7
357	7
358	7
359	7
360	7
361	7
362	7
363	7
364	7
366	7
367	7
369	11
369	7
370	2
370	12
371	32
371	1
371	3
371	75
371	5
371	88
371	22
371	39
371	34
371	11
371	78
371	49
371	2
371	17
371	26
371	28
371	29
371	92
371	30
371	93
371	94
371	31
372	2
372	1
372	3
372	60
372	28
372	9
373	3
373	75
373	60
373	5
373	88
373	22
373	11
373	89
373	2
373	95
373	26
373	96
373	28
373	19
373	29
373	97
373	30
373	9
373	10
373	32
373	1
373	16
373	34
373	20
373	78
373	8
373	98
373	55
373	56
373	17
373	92
373	80
373	58
373	59
374	5
374	12
374	31
375	5
375	12
376	1
376	3
376	5
376	9
377	1
377	2
377	3
377	99
377	5
377	28
377	34
377	30
377	9
378	1
378	3
378	60
378	54
378	5
378	22
378	11
378	34
378	78
378	2
378	12
378	29
378	30
378	9
378	59
379	2
380	12
381	3
381	60
382	37
382	3
382	100
382	2
382	26
382	27
382	12
382	28
382	19
382	42
382	51
382	30
382	9
382	31
382	10
382	1
382	13
382	65
382	101
382	34
382	20
382	78
382	55
382	102
382	80
382	103
384	5
384	12
385	2
385	3
386	12
387	7
388	5
388	12
389	2
389	12
389	34
389	7
389	9
390	87
390	75
390	24
390	21
390	22
390	18
390	40
390	11
390	104
390	62
390	49
390	25
390	27
390	42
390	29
390	30
390	9
390	105
390	32
390	63
390	64
390	106
390	34
390	36
390	8
390	107
390	102
390	80
390	68
390	37
390	3
390	5
390	108
390	109
390	2
390	95
390	26
390	12
390	19
390	28
390	6
390	7
390	31
390	110
390	10
390	1
390	16
390	39
390	20
390	78
390	56
390	92
390	58
390	111
390	103
391	2
391	12
392	10
392	1
392	3
392	63
392	24
392	21
392	5
392	108
392	22
392	18
392	34
392	78
392	112
392	2
392	28
392	102
392	29
392	7
392	9
393	2
393	50
393	5
394	87
394	3
394	75
394	60
394	24
394	21
394	5
394	108
394	22
394	18
394	40
394	11
394	62
394	49
394	2
394	26
394	12
394	28
394	19
394	42
394	6
394	29
394	7
394	30
394	9
394	31
394	105
394	10
394	32
394	1
394	63
394	106
394	39
394	34
394	78
394	80
394	103
394	59
395	2
395	12
395	11
396	13
396	5
396	12
396	11
397	7
398	5
398	12
399	3
399	12
400	9
401	13
401	12
401	11
402	9
403	19
404	7
405	9
406	12
407	70
407	13
407	12
407	11
408	9
409	2
410	10
411	2
411	9
412	9
413	9
414	13
414	70
414	12
414	11
415	2
415	12
416	10
417	13
417	70
417	2
417	12
419	9
420	9
421	9
422	2
422	113
422	7
422	9
423	10
423	13
424	10
424	2
424	17
425	70
426	9
427	7
428	70
428	12
429	1
429	2
429	3
429	9
430	10
430	12
430	9
431	2
431	3
431	26
432	10
432	12
432	7
433	10
433	2
433	12
433	61
434	1
434	2
435	10
435	13
435	65
435	5
435	11
435	20
435	61
435	114
435	115
435	2
435	17
435	116
435	12
435	29
435	7
435	9
436	10
436	2
436	20
437	37
437	10
437	2
437	71
437	20
438	1
438	2
438	3
438	26
438	21
438	5
438	22
438	34
438	9
439	1
439	2
439	55
439	3
439	12
439	28
439	34
439	30
440	10
440	1
440	13
440	3
440	5
440	22
440	34
440	11
440	20
440	49
440	2
440	17
440	12
440	92
440	117
440	9
441	10
441	2
441	17
441	11
441	20
441	82
442	37
442	17
442	11
442	118
442	58
443	1
443	2
443	3
443	34
444	10
444	13
444	2
444	17
444	12
444	11
445	2
445	13
445	1
445	3
445	88
445	5
445	54
445	34
445	29
445	36
445	9
446	10
446	13
446	5
446	20
446	11
446	34
446	61
446	114
446	2
446	12
446	19
446	29
446	7
446	9
447	10
447	13
447	2
447	17
447	44
447	11
447	20
448	10
448	13
448	2
448	65
448	12
448	119
448	11
448	20
448	61
449	10
449	13
450	10
450	2
450	11
451	10
452	37
452	10
452	7
452	9
453	120
453	10
453	1
453	2
453	3
454	10
454	2
455	32
455	1
455	3
455	24
455	21
455	5
455	22
455	39
455	34
455	49
455	2
455	26
455	6
455	19
455	58
455	9
455	59
456	10
456	13
456	65
456	121
456	122
456	20
456	11
456	61
456	114
456	8
456	2
456	17
456	12
456	80
456	7
456	9
457	10
457	2
457	17
457	12
457	20
457	11
457	9
457	89
458	10
458	2
458	13
458	61
459	10
459	2
459	13
459	12
459	44
459	11
459	36
459	61
460	19
461	5
461	12
461	11
462	5
462	12
462	11
463	1
463	2
463	13
463	3
463	12
463	11
463	9
464	13
464	12
464	19
465	5
465	12
466	19
467	70
467	13
467	5
467	12
467	11
468	13
468	12
468	19
469	13
469	12
469	19
470	69
470	13
470	12
470	11
471	19
472	19
473	12
473	41
474	13
474	12
474	11
474	9
475	12
476	12
477	13
477	12
477	11
478	19
479	19
480	13
480	5
480	12
481	13
481	12
481	19
482	13
482	2
482	5
482	12
482	19
483	13
483	12
483	19
484	13
484	12
484	19
485	19
486	1
486	2
486	13
486	56
486	12
486	19
487	5
487	12
488	5
488	12
489	5
489	12
490	87
490	9
491	47
491	2
491	3
491	5
491	18
491	71
491	30
492	87
492	2
492	5
492	18
492	9
493	2
493	3
494	2
494	5
494	9
495	2
495	9
496	18
497	70
497	13
497	12
497	11
